Timestamp,Stock Symbol,Stock Close Price,Future Symbol,Future Close Price,Difference
2025-04-01T09:15:00+0530,NSE:ANGELONE,2277.2,NFO:ANGELONE25APRFUT,2170,107.2
2025-04-01T09:16:00+0530,NSE:ANGELONE,2298.2,NFO:ANGELONE25APRFUT,2196.95,101.25
2025-04-01T09:17:00+0530,NSE:ANGELONE,2318.2,NFO:ANGELONE25APRFUT,2218.75,99.45
2025-04-01T09:18:00+0530,NSE:ANGELONE,2322.7,NFO:ANGELONE25APRFUT,2220.45,102.25
2025-04-01T09:19:00+0530,NSE:ANGELONE,2310.45,NFO:ANGELONE25APRFUT,2213.45,97.0
2025-04-01T09:20:00+0530,NSE:ANGELONE,2320.75,NFO:ANGELONE25APRFUT,2212.45,108.3
2025-04-01T09:21:00+0530,NSE:ANGELONE,2331.55,NFO:ANGELONE25APRFUT,2225,106.55
2025-04-01T09:22:00+0530,NSE:ANGELONE,2330.25,NFO:ANGELONE25APRFUT,2224.85,105.4
2025-04-01T09:23:00+0530,NSE:ANGELONE,2331.15,NFO:ANGELONE25APRFUT,2219.85,111.3
2025-04-01T09:24:00+0530,NSE:ANGELONE,2321.1,NFO:ANGELONE25APRFUT,2211.3,109.8
2025-04-01T09:25:00+0530,NSE:ANGELONE,2313.8,NFO:ANGELONE25APRFUT,2204,109.8
2025-04-01T09:26:00+0530,NSE:ANGELONE,2323.4,NFO:ANGELONE25APRFUT,2210,113.4
2025-04-01T09:27:00+0530,NSE:ANGELONE,2317.35,NFO:ANGELONE25APRFUT,2199.65,117.7
2025-04-01T09:28:00+0530,NSE:ANGELONE,2315.9,NFO:ANGELONE25APRFUT,2198.9,117.0
2025-04-01T09:15:00+0530,NSE:IREDA,159.23,NFO:IREDA25APRFUT,150.7,8.53
2025-04-01T09:16:00+0530,NSE:IREDA,159.75,NFO:IREDA25APRFUT,152.03,7.72
2025-04-01T09:17:00+0530,NSE:IREDA,160.23,NFO:IREDA25APRFUT,152.3,7.93
2025-04-01T09:18:00+0530,NSE:IREDA,160.58,NFO:IREDA25APRFUT,151.81,8.77
2025-04-01T09:19:00+0530,NSE:IREDA,160.29,NFO:IREDA25APRFUT,151.85,8.44
2025-04-01T09:20:00+0530,NSE:IREDA,160.99,NFO:IREDA25APRFUT,152.17,8.82
2025-04-01T09:21:00+0530,NSE:IREDA,161.49,NFO:IREDA25APRFUT,152.54,8.95
2025-04-01T09:22:00+0530,NSE:IREDA,161.32,NFO:IREDA25APRFUT,152.67,8.65
2025-04-01T09:23:00+0530,NSE:IREDA,160.3,NFO:IREDA25APRFUT,151.8,8.5
2025-04-01T09:24:00+0530,NSE:IREDA,159.5,NFO:IREDA25APRFUT,150.72,8.78
2025-04-01T09:25:00+0530,NSE:IREDA,159.66,NFO:IREDA25APRFUT,150.75,8.91
2025-04-01T09:26:00+0530,NSE:IREDA,159.83,NFO:IREDA25APRFUT,150.84,8.99
2025-04-01T09:27:00+0530,NSE:IREDA,159.51,NFO:IREDA25APRFUT,150.5,9.01
2025-04-01T09:28:00+0530,NSE:IREDA,159.54,NFO:IREDA25APRFUT,150.85,8.69
2025-04-01T09:15:00+0530,NSE:CAMS,3738.05,NFO:CAMS25APRFUT,3651,87.05
2025-04-01T09:16:00+0530,NSE:CAMS,3723.05,NFO:CAMS25APRFUT,3640,83.05
2025-04-01T09:17:00+0530,NSE:CAMS,3741.45,NFO:CAMS25APRFUT,3672,69.45
2025-04-01T09:18:00+0530,NSE:CAMS,3745.1,NFO:CAMS25APRFUT,3673.25,71.85
2025-04-01T09:19:00+0530,NSE:CAMS,3731.25,NFO:CAMS25APRFUT,3659.75,71.5
2025-04-01T09:20:00+0530,NSE:CAMS,3737.7,NFO:CAMS25APRFUT,3668.7,69.0
2025-04-01T09:21:00+0530,NSE:CAMS,3765.95,NFO:CAMS25APRFUT,3689,76.95
2025-04-01T09:22:00+0530,NSE:CAMS,3755,NFO:CAMS25APRFUT,3683.8,71.2
